Metric,Stage 1 (Binary),Stage 2 (Multi-class),Overall Framework
Accuracy,0.7942689850958127,0.8289565962752279,0.8140146431097159
Precision,0.8455554462172424,0.8788570670674047,0.8645121398106657
Recall,0.7942689850958127,0.8289565962752279,0.8140146431097159
F1-Score,0.792696194381203,0.836104456278961,0.8174060162821047
